word,meaning,word_type,last_sound,can_combine
ಧಾರವಾಡ,TODO,noun,ಅ,yes
ಮಾತನಾಡುವ,TODO,noun,ಅ,yes
ಹಂಪಿಯಲ್ಲಿ,TODO,noun,ಇ,yes
ಬಹುತೇಕ,TODO,noun,ಅ,yes
೨೦೦೧,TODO,noun,ಅ,yes
ಗೇಮ್ಸ್,TODO,noun,ಸ,yes
ಪ್ರಚಲಿತವಾಗಿರುವ,TODO,noun,ಅ,yes
ಚಾಮುಂಡೇಶ್ವರಿಯನ್ನು,TODO,noun,ಉ,yes
ವಿರಳರ,TODO,noun,ಅ,yes
ಮಿಷನ್,TODO,noun,ನ,yes
ಸೌಂದರ್ಯಯುಕ್ತ,TODO,noun,ಅ,yes
ಉತ್ತರದಲ್ಲಿ,TODO,noun,ಇ,yes
ಹೊಸ,TODO,noun,ಅ,yes
ಕೆರೆಸಂತೆ,TODO,noun,ಎ,yes
ದೇಶ,TODO,noun,ಅ,yes
ಚಿರಪರಿಚಿತವಾಗಿದೆ,TODO,noun,ಎ,yes
ವಿಮುಖರಾಗಿಲ್ಲ,TODO,noun,ಅ,yes
ಮೂಡಬೂಳ,TODO,noun,ಅ,yes
ಮುಂಡರೆಂಬ,TODO,noun,ಅ,yes
ಲಕ್ಕಮ್ಮ,TODO,noun,ಅ,yes
ಉಗ್ರ,TODO,noun,ಅ,yes
ನಿರ್ಮಿಸಿ,TODO,noun,ಇ,yes
ದರ್ಗ,TODO,noun,ಅ,yes
ನಿಧನರಾದರು,TODO,noun,ಉ,yes
ಉಂಟಾಗಿತ್ತು,TODO,noun,ಉ,yes
ಆವರಣವನ್ನು,TODO,noun,ಉ,yes
ವಿನ್ಯಾಸಗಳ,TODO,noun,ಅ,yes
ಡಿಸೆಂಬರ್,TODO,noun,ರ,yes
ವಾಗಿದೆ,TODO,noun,ಎ,yes
ಛಾಯಾದೇವಿ,TODO,noun,ಇ,yes
ಜೊತೆಗೆ,TODO,noun,ಎ,yes
ರಾಜ್ಯದಲ್ಲಿ,TODO,noun,ಇ,yes
ಅರ್ಪಿಸಿದ,TODO,noun,ಅ,yes
ಇಂತಹ,TODO,noun,ಅ,yes
ಪದವಿಯನ್ನೂ,TODO,noun,ಊ,yes
ಕನ್ನಡ,TODO,noun,ಅ,yes
ತಮಿಳುನಾಡು,TODO,noun,ಉ,yes
ಮಾತೃದೇವತೆಯ,TODO,noun,ಅ,yes
ಮುತ್ತಲ,TODO,noun,ಅ,yes
ಗುಡಿಯಲ್ಲಿ,TODO,noun,ಇ,yes
ಭಾಗದಲ್ಲಿ,TODO,noun,ಇ,yes
ಜಂಕ್ಷನ್,TODO,noun,ನ,yes
ಹೊಳೆ,TODO,noun,ಎ,yes
ಕಲ್ಲುಗಳು,TODO,noun,ಉ,yes
ಕಳೆಯಿತು,TODO,noun,ಉ,yes
ಗೋಪಾಲಕೃಷ್ಣ,TODO,noun,ಅ,yes
ದೇವಸ್ಥಾನಕರ್ನಾಟಕದ,TODO,noun,ಅ,yes
ಮಾಡಲಾಗಿದೆ,TODO,noun,ಎ,yes
ವಿಷಯದಲ್ಲಿ,TODO,noun,ಇ,yes
ವೀಳ್ಯದ,TODO,noun,ಅ,yes
೧೫೦೬ರಲ್ಲಿ,TODO,noun,ಇ,yes
೭೦೦ನೇ,TODO,noun,ಏ,yes
ಹೌಸ್ನಲ್ಲಿ,TODO,noun,ಇ,yes
ತಾಣ,TODO,noun,ಅ,yes
ತನ್ನ,TODO,noun,ಅ,yes
ಚಾಮರಾಜನಗರಕ್ಕೆ,TODO,noun,ಎ,yes
ಒಳಭಾಗದಲ್ಲಿದ್ದು,TODO,noun,ಉ,yes
ಸಾಮಾನ್ಯ,TODO,noun,ಅ,yes
ಕಂಡಿತು,TODO,noun,ಉ,yes
ಎಲ್ಲಕ್ಕಿಂತ,TODO,noun,ಅ,yes
ನಡೆಯುತ್ತಿರುವ,TODO,noun,ಅ,yes
ತಪ್ಪಿಲ್ಲದಿದ್ದರೂ,TODO,noun,ಊ,yes
ವಾರ್ಷಿಕೋತ್ಸವವು,TODO,noun,ಉ,yes
ಭಾಗಗಳನ್ನಾಗಿ,TODO,noun,ಇ,yes
ಮಾಡಿದ್ದಳು,TODO,noun,ಉ,yes
ದೇವರಗುಡ್ಡ,TODO,noun,ಅ,yes
ನಾಮಕರಣ,TODO,noun,ಅ,yes
ಮತ್ತೆ,TODO,noun,ಎ,yes
ಬೆಟ್ಟವು,TODO,noun,ಉ,yes
ಪುರಾಣ,TODO,noun,ಅ,yes
ಪಡಿಸಲು,TODO,noun,ಉ,yes
ನವರಾತ್ರಿ,TODO,noun,ಇ,yes
ಪೂರ್ವ,TODO,noun,ಅ,yes
ಪ್ರಶಸ್ತಿ,TODO,noun,ಇ,yes
ಪಿ,TODO,noun,ಇ,yes
ವಿವಿಧೆಡೆಗಳಿಗೆ,TODO,noun,ಎ,yes
ತೋಟಗಳು,TODO,noun,ಉ,yes
ಇವುಗಳ,TODO,noun,ಅ,yes
ದೊಡ್ಡದೇವರಾಜ,TODO,noun,ಅ,yes
ಗಾಡಿಗಳು,TODO,noun,ಉ,yes
ಸಂಪ್ರದಾಯಗಳಿಗೆ,TODO,noun,ಎ,yes
ಕಿ೦ಗ್ಫಫಿಶರ್,TODO,noun,ರ,yes
ಕೆಲಸವು,TODO,noun,ಉ,yes
ಶೋಷಣೆ,TODO,noun,ಎ,yes
ಗಾಣಗಾಪುರ,TODO,noun,ಅ,yes
೧೯೯೪,TODO,noun,ಅ,yes
ಸಾಹಿತ್ಯಕ್ಕೆ,TODO,noun,ಎ,yes
ಕೂಡಿರುವ,TODO,noun,ಅ,yes
ಬ್ಯಾಂಕುಗಳನ್ನು,TODO,noun,ಉ,yes
ವಿಂಗಡಿಸಬಹುದು,TODO,noun,ಉ,yes
ಅಭಿಮಾನದ,TODO,noun,ಅ,yes
ಕೊಡಗು,TODO,noun,ಉ,yes
ವ್ಯಷ್ಠಿ,TODO,noun,ಇ,yes
ರೂಪ,TODO,noun,ಅ,yes
ನಾಶ,TODO,noun,ಅ,yes
ಸ್ಮಾರಕವಾಗಿದೆ,TODO,noun,ಎ,yes
ಯುಗ,TODO,noun,ಅ,yes
ಕವಿಗಳು,TODO,noun,ಉ,yes
ಜಿಲ್ಲೆಗಳಿವೆ,TODO,noun,ಎ,yes
ಶಿಕ್ಷಣ,TODO,noun,ಅ,yes
ಮೆಷಿನ್,TODO,noun,ನ,yes
ಆಸಕ್ತಿ,TODO,noun,ಇ,yes
ಸ್ಮಾರಕಗಳನ್ನು,TODO,noun,ಉ,yes
ಹಿಂದು,TODO,noun,ಉ,yes
ನಿಂತದ್ದು,TODO,noun,ಉ,yes
ಎಂ,TODO,noun,ಂ,yes
ಕವಿ,TODO,noun,ಇ,yes
ಸಂಜೀವನಶಕ್ತಿಯಾಗಿ,TODO,noun,ಇ,yes
ಪಿಂಗಾಣಿ,TODO,noun,ಇ,yes
ಬಾಳಾಸಾಹೇಬ,TODO,noun,ಅ,yes
ಹರಿದು,TODO,noun,ಉ,yes
ತಣಿಸುತ್ತಾ,TODO,noun,ಆ,yes
ಸತಿ,TODO,noun,ಇ,yes
ಕತೆ,TODO,noun,ಎ,yes
ಕೇಳಿತು,TODO,noun,ಉ,yes
ಕಲ್ಪವೃಕ್ಷ,TODO,noun,ಅ,yes
ಮಂಚೇಗೌಡನಕೊಪ್ಪಲು,TODO,noun,ಉ,yes
ಬಹುಪಾಲು,TODO,noun,ಉ,yes
ಪ್ರಮುಖ,TODO,noun,ಅ,yes
ಇರುತ್ತಾರೆ,TODO,noun,ಎ,yes
ಸಪ್ತಸ್ವರ,TODO,noun,ಅ,yes
ಬಡಗ,TODO,noun,ಅ,yes
ಸರಕಾರಗಳು,TODO,noun,ಉ,yes
ಲಾಯ,TODO,noun,ಅ,yes
ಆದರ್ಶಪ್ರಿಯತೆ,TODO,noun,ಎ,yes
೧೯೫೦,TODO,noun,ಅ,yes
ಕಮಲಾಪುರ,TODO,noun,ಅ,yes
ಉಪಾಧಿಗಳೂ,TODO,noun,ಊ,yes
ಆಚರಿಸುವುದಾಗಿ,TODO,noun,ಇ,yes
ಆನೆಗುಂಡಿ,TODO,noun,ಇ,yes
ಉತ್ತಮ,TODO,noun,ಅ,yes
ಭಕ್ತವೃಂದಕ್ಕೆ,TODO,noun,ಎ,yes
ವೈಚಾರಿಕತೆಯ,TODO,noun,ಅ,yes
ನೀಡಲಾಗಿದೆ,TODO,noun,ಎ,yes
ಆರಂಭಿಸಿದರು,TODO,noun,ಉ,yes
ಬೇಂದ್ರೆ,TODO,noun,ಎ,yes
ಕಿರಣಗಳು,TODO,noun,ಉ,yes
ಪಡೆದವರಾಗಿದ್ದಾರೆ,TODO,noun,ಎ,yes
ಲಿಂಗವು,TODO,noun,ಉ,yes
ಮಿತಿ,TODO,noun,ಇ,yes
ನೀಡಲೇ,TODO,noun,ಏ,yes
ತೀರದಲ್ಲಿ,TODO,noun,ಇ,yes
ತಮ್ಮನ್ನು,TODO,noun,ಉ,yes
ಹಲವೆಡೆ,TODO,noun,ಎ,yes
ಪಟ್ಟಣಗಳನ್ನು,TODO,noun,ಉ,yes
೧೪,TODO,noun,ಅ,yes
ನೇ,TODO,noun,ಏ,yes
ಹಲವಂದದಲಿ,TODO,noun,ಇ,yes
ಇಲ್ಲಿನ,TODO,noun,ಅ,yes
ಪೀಠ,TODO,noun,ಅ,yes
ದೇವಾಲಯದಲ್ಲಿರುವ,TODO,noun,ಅ,yes
ರಾಜಾ,TODO,noun,ಆ,yes
ಕೋಟಿ,TODO,noun,ಇ,yes
ನಿರ್ಮಿಸಲ್ಪಟ್ಟಿತ್ತು,TODO,noun,ಉ,yes
ಕಟ್ಟಿದನೆಂಬುದು,TODO,noun,ಉ,yes
೩೪೩,TODO,noun,ಅ,yes
ಗ್ರಾನೈಟ್,TODO,noun,ಟ,yes
ರಾಜ್ಯ,TODO,noun,ಅ,yes
ಕಿಷ್ಕಿಂಧೆ,TODO,noun,ಎ,yes
ಎಂದರೂ,TODO,noun,ಊ,yes
ಎಡ,TODO,noun,ಅ,yes
ಜಗನ್,TODO,noun,ನ,yes
ಆರಂಭಿಕ,TODO,noun,ಅ,yes
ಬನವಾಸಿ,TODO,noun,ಇ,yes
ಉಬ್ಬಿರುವ,TODO,noun,ಅ,yes
ರೂಪನಗರ,TODO,noun,ಅ,yes
ಕಂಠೀರವ,TODO,noun,ಅ,yes
ಸ್ಥಳಗಳಿಗೆ,TODO,noun,ಎ,yes
ಸ್ತೂಪಗಳನ್ನು,TODO,noun,ಉ,yes
ಗಂಗೋತ್ರಿಯನ್ನು,TODO,noun,ಉ,yes
ವಾದಿ,TODO,noun,ಇ,yes
೧೯೯೧,TODO,noun,ಅ,yes
ಮಾದಿಕೊಟ್ಟಿವೆ,TODO,noun,ಎ,yes
ಕಂಬಗಳ,TODO,noun,ಅ,yes
ಮುಸ್ಲಿಂ,TODO,noun,ಂ,yes
ಅನ್ಯಾಯಗಳ,TODO,noun,ಅ,yes
ಸೇರ್ಪಡೆಗೊಂಡಿದ್ದರೆ,TODO,noun,ಎ,yes
ನೀಡುತ್ತದೆ,TODO,noun,ಎ,yes
ಕರೆಯಲಾಯಿತು,TODO,noun,ಉ,yes
ಒಡೆಯರ್,TODO,noun,ರ,yes
ಎಲ್ಲೆಡೆ,TODO,noun,ಎ,yes
ವ್ಯುತ್ಪತ್ತಿಯನ್ನು,TODO,noun,ಉ,yes
ಶಿಷ್ಟರಕ್ಷಕಿಯಾಗಿ,TODO,noun,ಇ,yes
ಹೊರಬಂದರು,TODO,noun,ಉ,yes
ಕೋ,TODO,noun,ಓ,yes
ವಿರುದ್ಧವಾಗಿ,TODO,noun,ಇ,yes
ಚಿತ್ರಿಸಲಾಗಿರುವ,TODO,noun,ಅ,yes
ಕಲ್ಲುಗಳಿಂದ,TODO,noun,ಅ,yes
ಗಣೇಶನು,TODO,noun,ಉ,yes
ಅಂದರೆ,TODO,noun,ಎ,yes
ಮುಕ್ತಿ,TODO,noun,ಇ,yes
ಹೆಸರುವಾಸಿಯಾಗಿದೆ,TODO,noun,ಎ,yes
ವಿಶ್ವವಿದ್ಯಾಲಯದ,TODO,noun,ಅ,yes
ಮಂಡಕಳ್ಳಿ,TODO,noun,ಇ,yes
ಏಳನೆಯವಳು,TODO,noun,ಉ,yes
ವೆಸ್ಲಿಯನ್,TODO,noun,ನ,yes
ಪ್ರವೃತ್ತಿ,TODO,noun,ಇ,yes
ಹಾಗೂ,TODO,noun,ಊ,yes
ಮಾನ್ಯತೆಯನ್ನು,TODO,noun,ಉ,yes
ಪ್ರಸ್ತಭೂಮಿಯ,TODO,noun,ಅ,yes
ಸ್ಥಳ,TODO,noun,ಅ,yes
ತಿಂದಿದ್ದರ,TODO,noun,ಅ,yes
ತಮ್ಮ,TODO,noun,ಅ,yes
ಮೀಸಲಾಗಿದ್ದುದರಿಂದ,TODO,noun,ಅ,yes
ಸಂಶಯವೂ,TODO,noun,ಊ,yes
ವೀಕ್ಷಿಸುತ್ತಿದ್ದರು,TODO,noun,ಉ,yes
ಕಾಮಧೇನು,TODO,noun,ಉ,yes
ಪ್ರಸಿದ್ಧಿ,TODO,noun,ಇ,yes
ನರಸೀಪುರವುಕಾವೇರಿ,TODO,noun,ಇ,yes
ಗುಂಡು,TODO,noun,ಉ,yes
ಪ್ರಬಲ,TODO,noun,ಅ,yes
ಶ್ರೇಷ್ಠತೆಯಿರುವುದು,TODO,noun,ಉ,yes
ರಾಮಾಯಣ,TODO,noun,ಅ,yes
ಕುಪ್ಪಳಿಯಲ್ಲಿರುವ,TODO,noun,ಅ,yes
ಹಂಪೆಯನ್ನು,TODO,noun,ಉ,yes
ಕ್ಯಾತಮಾರನಹಳ್ಳಿ,TODO,noun,ಇ,yes
ಹೈದರಾಬಾದ್,TODO,noun,ದ,yes
ಸಂಸ್ಕೃತಿ,TODO,noun,ಇ,yes
ಸತ್ಯವನ್ನೂ,TODO,noun,ಊ,yes
ಜನಗಣತಿ,TODO,noun,ಇ,yes
ನಿರಂಕುಶ,TODO,noun,ಅ,yes
ಕುಮಾರವ್ಯಾಸನ,TODO,noun,ಅ,yes
ಗುಂಜಾನರಸಿಂಹ,TODO,noun,ಅ,yes
ಮೈಲಾರ,TODO,noun,ಅ,yes
ಲೋಕ,TODO,noun,ಅ,yes
ಏಕೀಕರಣದ,TODO,noun,ಅ,yes
ತಂದೆಯ,TODO,noun,ಅ,yes
ಎರಡನೆ,TODO,noun,ಎ,yes
ಒದಗಿಸುತ್ತವೆ,TODO,noun,ಎ,yes
ದೇವಾಲಯದ,TODO,noun,ಅ,yes
ಅಂತ್ಯ,TODO,noun,ಅ,yes
ಚಮತ್ಕಾರಗಳ,TODO,noun,ಅ,yes
ಬೆಂಗಳೂರಿನಿಂದ,TODO,noun,ಅ,yes
ಪ್ರಸಾರಾಂಗ,TODO,noun,ಅ,yes
ಪಂಪಾಪತಿ,TODO,noun,ಇ,yes
ವರ್ಣದ,TODO,noun,ಅ,yes
ಪ್ಯಾಲೇಸ್,TODO,noun,ಸ,yes
ಮಾಡಿದ್ದು,TODO,noun,ಉ,yes
ಸಾಮಾಜಿಕ,TODO,noun,ಅ,yes
ಪ್ರತಿಸ್ಪರ್ಧಿಯಾಯಿತೆಂಬುದೇ,TODO,noun,ಏ,yes
ರಾಜ್ಯಭಾರ,TODO,noun,ಅ,yes
ಹಂಪಿಯಿಂದ,TODO,noun,ಅ,yes
ಅಳಿಯ,TODO,noun,ಅ,yes
ನಗರಗಳೆಂದರೆ,TODO,noun,ಎ,yes
ವೃಕ್ಷ,TODO,noun,ಅ,yes
ತೋರಿಸಬಹುದಾದರೂ,TODO,noun,ಊ,yes
ಕಾವ್ಯಶಕ್ತಿ,TODO,noun,ಇ,yes
ಮೂಲ,TODO,noun,ಅ,yes
ತಾರಿಣಿ,TODO,noun,ಇ,yes
ಆಳುತ್ತಿದ್ದ,TODO,noun,ಅ,yes
ಮಹಲುಗಳು,TODO,noun,ಉ,yes
ಅಲಂಕಾರಿಕ,TODO,noun,ಅ,yes
ಬೆಟ್ಟದಲ್ಲಿರುವ,TODO,noun,ಅ,yes
ರೊಮ್ಯಾಂಟಿಕ್,TODO,noun,ಕ,yes
ಹಾರಿ,TODO,noun,ಇ,yes
ರಾಜ್ಯದಿಂದ,TODO,noun,ಅ,yes
ಗುರುಗಳಾಗಿದ್ದರು,TODO,noun,ಉ,yes
ಸರ್ಪ,TODO,noun,ಅ,yes
ಆಯೋಜಿಸುವ,TODO,noun,ಅ,yes
ಲಭಿಸಿವೆ,TODO,noun,ಎ,yes
ಒಡೆಯುವಂತಾಗಿ,TODO,noun,ಇ,yes
ನಿರ್ವಹಿಸಲ್ಪಡುತ್ತಿದ್ದವು,TODO,noun,ಉ,yes
೧೦,TODO,noun,ಅ,yes
ಅಂಕಿ,TODO,noun,ಇ,yes
ಮಹಾರಾಣಿ,TODO,noun,ಇ,yes
ಪೆಡಸುಕಲ್ಲುಗಳು,TODO,noun,ಉ,yes
ದಡದಲ್ಲಿರುವ,TODO,noun,ಅ,yes
ರಕ್ಷಣೆಯು,TODO,noun,ಉ,yes
ಸಾರಿದ,TODO,noun,ಅ,yes
ಕಾವ್ಯದ,TODO,noun,ಅ,yes
ಹುಲಿಗೆಮ್ಮ,TODO,noun,ಅ,yes
ವಾಯವ್ಯದಲ್ಲಿ,TODO,noun,ಇ,yes
ಆಳಿದ್ದು,TODO,noun,ಉ,yes
ಪಿತಾಮಹರೆಂದರೆ,TODO,noun,ಎ,yes
ಕುಳಿತಿರುವ,TODO,noun,ಅ,yes
ಚಟುವಟಿಕೆಗಳನ್ನು,TODO,noun,ಉ,yes
ಟ್ರ್ಯಾಪ್ಸಲ್ಲಿರುವ,TODO,noun,ಅ,yes
ಅರಮನೆಗಳಿರುವುದರಿಂದ,TODO,noun,ಅ,yes
ಯೇಸುಕ್ರಿಸ್ತನ,TODO,noun,ಅ,yes
೧೫,TODO,noun,ಅ,yes
ನೀರಿನ,TODO,noun,ಅ,yes
ದೈತ್ಯ,TODO,noun,ಅ,yes
ಮಾಡಲ್ಪಟ್ಟಿದ್ದು,TODO,noun,ಉ,yes
ನೋಡಲೆ,TODO,noun,ಎ,yes
ಕೂಡಲ,TODO,noun,ಅ,yes
ವಿಸ್ತಾರವಾದ,TODO,noun,ಅ,yes
ಮಂಡ್ಯದ,TODO,noun,ಅ,yes
ಪ್ರೇಮ,TODO,noun,ಅ,yes
ಹೇಮಕೂಟ,TODO,noun,ಅ,yes
ಧ್ವನಿ,TODO,noun,ಇ,yes
ಕಾರ್ಯಾರಂಭ,TODO,noun,ಅ,yes
ಶಿಲಾಯುಗದಷ್ಟು,TODO,noun,ಉ,yes
ಜನ್ಮೋದ್ದೇಶವಾದ,TODO,noun,ಅ,yes
ಬರೆಯಬಲ್ಲರು,TODO,noun,ಉ,yes
ಜನಸಂಪರ್ಕದಿಂದ,TODO,noun,ಅ,yes
ಕೋಣ,TODO,noun,ಅ,yes
ಕೇಂದ್ರವಾಗಿದ್ದು,TODO,noun,ಉ,yes
ವಾಗಿದ್ದು,TODO,noun,ಉ,yes
ತಲೆಮಾರಿನ,TODO,noun,ಅ,yes
ಭದ್ರವಾಗಿದೆಯೆಂಬುದರಲ್ಲಿ,TODO,noun,ಇ,yes
ಜೀವವಿಲ್ಲದ,TODO,noun,ಅ,yes
೧೯೦೪,TODO,noun,ಅ,yes
ಭಾರತೀಯರ,TODO,noun,ಅ,yes
ದೇವತೆಯು,TODO,noun,ಉ,yes
ತಲುಪಿದಾಗ,TODO,noun,ಅ,yes
ತಮಗೆ,TODO,noun,ಎ,yes
ಸಾರ್ವಕಾಲಿಕ,TODO,noun,ಅ,yes
ಮಹಿಷಾಸುರ,TODO,noun,ಅ,yes
ಜನಾಂಗ,TODO,noun,ಅ,yes
ಯಾಗಿದೆ,TODO,noun,ಎ,yes
ಸ್ಥಳೀಯ,TODO,noun,ಅ,yes
ಎಂದು,TODO,noun,ಉ,yes
ಬಿದರಿಕಲೆಗೆ,TODO,noun,ಎ,yes
ಕ್ರಮದಲ್ಲಿ,TODO,noun,ಇ,yes
ಮೂಲಸ್ಥಾನೇಶ್ವರ,TODO,noun,ಅ,yes
ಮಹಾಸಂಸ್ಥಾನವನ್ನು,TODO,noun,ಉ,yes
ಆದಿಯಲ್ಲಿ,TODO,noun,ಇ,yes
ದೇವತೆ,TODO,noun,ಎ,yes
ಬೇರ್ಪಟ್ಟು,TODO,noun,ಉ,yes
ಧ್ರುವತಾರೆಯಾಗಿ,TODO,noun,ಇ,yes
ಕೊಡಮಾಡುವ,TODO,noun,ಅ,yes
ಭಾಷೆಯಲ್ಲಾದರೂ,TODO,noun,ಊ,yes
ಸರ್ಪವನ್ನು,TODO,noun,ಉ,yes
ಟ್ರಸ್ಟ್,TODO,noun,ಟ,yes
ಗ್ರಾಮ,TODO,noun,ಅ,yes
ಕಟೀಲು,TODO,noun,ಉ,yes
ಸೃಷ್ಟಿಯಲ್ಲಿ,TODO,noun,ಇ,yes
ವಾಗಲೆಂದು,TODO,noun,ಉ,yes
ಇದಕ್ಕೆ,TODO,noun,ಎ,yes
ಕುಂಬಾರ,TODO,noun,ಅ,yes
ಆಗಿದ್ದರು,TODO,noun,ಉ,yes
ಲಕ್ಷ್ಮಿನರಸಿಂಹ,TODO,noun,ಅ,yes
ತುಂಬಾ,TODO,noun,ಆ,yes
ಮಹಿಷೂರಿನ,TODO,noun,ಅ,yes
ಹಿರಿಯ,TODO,noun,ಅ,yes
ಇಟ್ಟಿಗೆಗೂಡು,TODO,noun,ಉ,yes
ಭಾರತ,TODO,noun,ಅ,yes
ತಾಯಿಯ,TODO,noun,ಅ,yes
ತಮಿಳುನಾಡಿ,TODO,noun,ಇ,yes
ಮಹಿಷನ,TODO,noun,ಅ,yes
ಎತ್ತರದ,TODO,noun,ಅ,yes
ಹೊಂದಿದ,TODO,noun,ಅ,yes
ಶಿವರಾಮಪೇಟೆ,TODO,noun,ಎ,yes
ಗುಡಿಯನ್ನು,TODO,noun,ಉ,yes
ಮಣ್ಣಿನ,TODO,noun,ಅ,yes
ಕಾವ್ಯತಂತ್ರ,TODO,noun,ಅ,yes
ಹೊಸಗನ್ನಡ,TODO,noun,ಅ,yes
ಅಮೃತತ್ವದ,TODO,noun,ಅ,yes
ಆದ್ದರಿಂದ,TODO,noun,ಅ,yes
ರಾಜ್ಯದ,TODO,noun,ಅ,yes
ಪುರೋಹಿತ,TODO,noun,ಅ,yes
ಇಲ್ಲವೇ,TODO,noun,ಏ,yes
ಸಂಪ್ರದಾಯ,TODO,noun,ಅ,yes
ನುಡಿಗಟ್ಟು,TODO,noun,ಉ,yes
೧೫೧೦,TODO,noun,ಅ,yes
ಆಕರ್ಷಣೆಯಾಗಿದೆ,TODO,noun,ಎ,yes
ಜಿಲ್ಲೆಯಲ್ಲಿ,TODO,noun,ಇ,yes
೧೯೮೬ರಂದು,TODO,noun,ಉ,yes
ಉಪಯೋಗಿಸಲ್ಪಡುತ್ತಿದ್ದ,TODO,noun,ಅ,yes
ಮೈಸೂರನ್ನು,TODO,noun,ಉ,yes
ದ್ರಾವಿಡಿಯನ್,TODO,noun,ನ,yes
ಮಾ,TODO,noun,ಆ,yes
ಪ್ರತಿಪಾದಿಸಲ್ಪಟ್ಟಿವೆ,TODO,noun,ಎ,yes
ಸಂಧಿಸಿ,TODO,noun,ಇ,yes
ಆಕರ್ಷಿಸುತ್ತದೆ,TODO,noun,ಎ,yes
ಮೂಲಕ,TODO,noun,ಅ,yes
ಕಲ್ಪಿಸಿದ್ದು,TODO,noun,ಉ,yes
ಕವಿಗಳಲ್ಲೊಬ್ಬರಾಗಿದ್ದಾರೆ,TODO,noun,ಎ,yes
ಮೆಟ್ಟಿಲುಗಳನ್ನು,TODO,noun,ಉ,yes
ಎಂಬಲ್ಲಿ,TODO,noun,ಇ,yes
ಪಡೆಯಲು,TODO,noun,ಉ,yes
ಆಗ್ನೇಯ,TODO,noun,ಅ,yes
ಇಂದುಕಲಾ,TODO,noun,ಆ,yes
ನೆರವಾದುದು,TODO,noun,ಉ,yes
ಗುರುತಿಸಿಕೊಂಡರು,TODO,noun,ಉ,yes
ಅಪ್ರತಿಷ್ಠಿತ,TODO,noun,ಅ,yes
ಆನೆಗಳು,TODO,noun,ಉ,yes
ಪ್ರಜ್ಞೆಗಳೆರಡರ,TODO,noun,ಅ,yes
ಸಂತಸವನ್ನು,TODO,noun,ಉ,yes
ದೇವಾಲಯಕ್ಕೆ,TODO,noun,ಎ,yes
ಸಂಗೀತ,TODO,noun,ಅ,yes
ಮುಖಾಮುಖಿಯಾದ,TODO,noun,ಅ,yes
ಶೃಂಗೇರಿ,TODO,noun,ಇ,yes
ಪೂರ್ಣಚಂದ್ರ,TODO,noun,ಅ,yes
ಬೆಟ್ಟದ,TODO,noun,ಅ,yes
ಪೂಜಿಸುತ್ತಾರೆ,TODO,noun,ಎ,yes
ದಂತಕಥೆಯ,TODO,noun,ಅ,yes
ವ್ಯುತ್ಪತ್ತಿಗಳು,TODO,noun,ಉ,yes
ಏಕೆಂದರೆ,TODO,noun,ಎ,yes
ಧರ್ಮದಲ್ಲಿ,TODO,noun,ಇ,yes
ಮೇಳೈಸಿ,TODO,noun,ಇ,yes
